no,date,num
"1","120806",4
"2","120807",1
"3","120808",12
"4","120809",97
"5","120811",24
"6","120812",34
"7","120813",41
"8","120814",42
"9","120815",28
"10","120816",65
"11","120817",77
"12","120818",42
"13","120819",22
"14","120820",43
"15","120821",44
"16","120822",43
"17","120823",41
"18","120824",25
"19","120825",7
"20","120826",8
"21","120827",274
"22","120828",181
"23","120829",305
"24","120830",325
"25","120831",333
"26","120901",560
"27","120902",471
"28","120903",541
"29","120904",491
"30","120905",697
"31","120906",487
"32","120907",723
"33","120908",221
"34","120909",492
"35","120910",952
"36","120911",698
"37","120912",328
"38","120913",93
"39","120914",905
"40","120915",204
"41","120916",315
"42","120917",378
"43","120918",91
"44","120919",351
"45","120920",712
"46","120921",568
"47","120922",555
"48","120923",576
"49","120924",1789
"50","120925",3480
"51","120926",2430
"52","120927",1481
"53","120928",2289
"54","120929",1638
"55","120930",568
"56","121001",385
"57","121002",291
"58","121003",405
"59","121004",1470
"60","121005",1220
"61","121006",1997
"62","121007",1889
"63","121008",1712
"64","121009",1505
"65","121010",1283
"66","121011",1616
"67","121012",2311
"68","121013",2670
"69","121014",3088
"70","121015",2968
"71","121016",1781
"72","121017",3461
"73","121018",2650
"74","121019",3084
"75","121020",2225
"76","121021",1907
"77","121022",2915
"78","121023",2752
"79","121024",2037
"80","121025",2307
"81","121026",1624
"82","121027",2573
"83","121028",1438
"84","121029",1869
"85","121030",3308
"86","121031",2604
"87","121101",2108
"88","121102",2181
"89","121103",1588
"90","121104",2125
"91","121105",2457
"92","121106",3152
"93","121107",4130
"94","121108",3387
"95","121109",2235
"96","121110",2485
"97","121111",1464
"98","121112",3934
"99","121113",3406
"100","121114",3960
"101","121115",3048
"102","121116",3608
"103","121117",4410
"104","121118",2641
"105","121119",4006
"106","121120",4078
"107","121121",3239
"108","121122",3814
"109","121123",4244
"110","121124",4205
"111","121125",367
"112","121126",3358
"113","121127",4535
"114","121128",5593
"115","121129",2981
"116","121130",2668
"117","121201",4632
"118","121202",2921
"119","121203",4920
"120","121204",4546
"121","121205",5669
"122","121206",5731
"123","121207",4387
"124","121208",4948
"125","121209",3576
"126","121210",5585
"127","121211",4629
"128","121212",4725
"129","121213",4953
"130","121214",5430
"131","121215",4277
"132","121216",4548
"133","121217",3425
"134","121218",4398
"135","121219",4599
"136","121220",4404
"137","121221",4451
"138","121222",4720
"139","121223",1589
"140","121224",3849
"141","121225",3471
"142","121226",3161
"143","121227",4292
"144","121228",5220
"145","121229",3605
"146","121230",2823
"147","121231",5064
"148","130101",1595
"149","130102",5104
"150","130103",3246
"151","130104",4681
"152","130105",3912
"153","130106",4638
"154","130107",4327
"155","130108",6077
"156","130109",6148
"157","130110",2811
"158","130111",5851
"159","130112",5040
"160","130113",4832
"161","130114",6708
"162","130115",6212
"163","130116",5690
"164","130117",4095
"165","130118",6323
"166","130119",4561
"167","130120",4889
"168","130121",6537
"169","130122",5324
"170","130123",5510
"171","130124",4463
"172","130125",2802
"173","130126",4925
"174","130127",5725
"175","130128",4831
"176","130129",5704
"177","130130",4205
"178","130131",4645
"179","130201",4532
"180","130202",5956
"181","130203",384
"182","130204",4603
"183","130205",5775
"184","130206",6969
"185","130207",3451
"186","130208",302
"187","130213",458
"188","130214",2699
"189","130215",3432
"190","130216",4331
"191","130217",2661
"192","130218",3564
"193","130219",4382
"194","130220",5818
"195","130221",5087
"196","130222",4182
"197","130223",4187
"198","130224",3398
"199","130225",2250
"200","130226",1
"201","130227",5504
"202","130228",5178
"203","130301",6055
"204","130302",5665
"205","130303",3873
"206","130304",3953
"207","130305",6911
"208","130306",6955
"209","130307",6007
"210","130308",6201
"211","130309",3453
"212","130310",3452
"213","130311",3456
"214","130312",6913
"215","130313",6746
"216","130314",7110
"217","130315",5321
"218","130316",2649
"219","130317",3470
"220","130318",5244
"221","130319",4620
"222","130320",6744
"223","130321",6719
"224","130322",6828
"225","130323",4283
"226","130324",4141
"227","130325",3076
"228","130326",6112
"229","130327",5428
"230","130328",5475
"231","130329",5620
"232","130330",3719
"233","130331",3607
"234","130401",3453
"235","130402",4481
"236","130403",5778
"237","130404",1518
"238","130405",3590
"239","130406",3630
"240","130407",3869
"241","130408",3483
"242","130409",2653
"243","130410",4049
"244","130411",3810
"245","130412",3833
"246","130413",3532
"247","130414",3948
"248","130415",3071
"249","130416",3804
"250","130417",3096
"251","130418",3880
"252","130419",3842
"253","130420",3284
"254","130421",3341
"255","130422",3492
"256","130423",3801
"257","130424",3617
"258","130425",2228
"259","130426",2632
"260","130428",3891
"261","130429",4035
"262","130430",4584
"263","130501",2238
"264","130502",3384
"265","130503",4740
"266","130504",3566
"267","130505",3721
"268","130506",3552
"269","130507",3542
"270","130508",3769
"271","130509",2356